Bedding_week,Date,Time,Age_in_months,IdLabel,total_visited_cages
1,2020-08-28,2023-03-15T02:00:00Z,25,14827B,6
1,2020-08-28,2023-03-15T02:00:00Z,37,10793A,24
1,2020-08-28,2023-03-15T03:00:00Z,12,19231J,8
1,2020-08-28,2023-03-15T03:00:00Z,15,18291F,9
1,2020-08-28,2023-03-15T03:00:00Z,18,16829E,2
1,2020-08-28,2023-03-15T03:00:00Z,25,14827B,3
1,2020-08-28,2023-03-15T04:00:00Z,12,19231J,2
1,2020-08-28,2023-03-15T04:00:00Z,15,18291F,23
1,2020-08-28,2023-03-15T04:00:00Z,25,14827B,10
1,2020-08-28,2023-03-15T04:00:00Z,37,10793A,7
1,2020-08-28,2023-03-15T05:00:00Z,15,18291F,13
1,2020-08-28,2023-03-15T05:00:00Z,18,16829E,23
1,2020-08-28,2023-03-15T05:00:00Z,20,16509C,5
1,2020-08-28,2023-03-15T05:00:00Z,25,14827B,1
1,2020-08-28,2023-03-15T05:00:00Z,37,10793A,2
1,2020-08-28,2023-03-15T06:00:00Z,12,19231J,44
1,2020-08-28,2023-03-15T06:00:00Z,15,18291F,2
1,2020-08-28,2023-03-15T06:00:00Z,25,14827B,23
1,2020-08-28,2023-03-15T06:00:00Z,37,10793A,3
1,2020-08-28,2023-03-15T07:00:00Z,12,19231J,17
1,2020-08-28,2023-03-15T07:00:00Z,15,18291F,8
1,2020-08-28,2023-03-15T07:00:00Z,18,16829E,3
1,2020-08-28,2023-03-15T07:00:00Z,20,16509C,3
1,2020-08-28,2023-03-15T07:00:00Z,37,10793A,8
1,2020-08-28,2023-03-15T08:00:00Z,15,18291F,8
1,2020-08-28,2023-03-15T08:00:00Z,18,16829E,12
1,2020-08-28,2023-03-15T08:00:00Z,20,16509C,22
1,2020-08-28,2023-03-15T08:00:00Z,25,14827B,7
1,2020-08-28,2023-03-15T09:00:00Z,12,19231J,44
1,2020-08-28,2023-03-15T09:00:00Z,15,18291F,217
1,2020-08-28,2023-03-15T09:00:00Z,18,16829E,54
1,2020-08-28,2023-03-15T09:00:00Z,20,16509C,45
1,2020-08-28,2023-03-15T09:00:00Z,25,14827B,113
1,2020-08-28,2023-03-15T09:00:00Z,37,10793A,14
1,2020-08-28,2023-03-15T10:00:00Z,12,19231J,139
1,2020-08-28,2023-03-15T10:00:00Z,15,18291F,175
