Group,IdLabel,Day,Cage,Duration_sum,Duration_light,Duration_dark
All,18291F,3,Cage 3-6,2196.592,51.355,2145.237
All,18291F,3,Tube 1:2,749.081,269.347,479.734
All,18291F,3,Tube 2:3,546.802,32.414,514.388
All,18291F,4,Cage 1-1,2328.629,97.298,2231.331
All,18291F,4,Cage 1-2,1116.967,217.638,899.329
All,18291F,4,Cage 1-3,16586.457,15511.209,1075.248
All,18291F,4,Cage 1-4,3318.367,2365.196,953.171
All,18291F,4,Cage 1-5,416.389,120.245,296.144
All,18291F,4,Cage 1-6,1152.117,263.859,888.258
All,18291F,4,Cage 2-1,2995.597,36.297,2959.3
All,18291F,4,Cage 2-2,2226.88,509.458,1717.422
All,18291F,4,Cage 2-3,1808.184,174.249,1633.935
All,18291F,4,Cage 2-4,1163.974,278.759,885.215
All,18291F,4,Cage 2-5,861.867,164.4,697.467
All,18291F,4,Cage 2-6,4718.941,1416.391,3302.55
All,18291F,4,Cage 3-1,1976.712,465.516,1511.196
All,18291F,4,Cage 3-2,1658.109,475.017,1183.092
All,18291F,4,Cage 3-3,8787.97000000001,3886.616,4901.354
All,18291F,4,Cage 3-4,7598.178,6036.436,1561.742
All,18291F,4,Cage 3-5,868.185,287.941,580.244
All,18291F,4,Cage 3-6,1270.343,639.62,630.723
All,18291F,4,Tube 1:2,673.448,108.665,564.783
All,18291F,4,Tube 2:3,721.696,210.473,511.223
All,18291F,5,Cage 1-1,2157.721,533.398,1624.323
All,18291F,5,Cage 1-2,2883.355,945.447,1937.908
All,18291F,5,Cage 1-3,5163.969,2266.768,2897.201
All,18291F,5,Cage 1-4,20087.702,15343.465,4744.237
All,18291F,5,Cage 1-5,1053.034,369.337,683.697
All,18291F,5,Cage 1-6,1555.548,509.779,1045.769
All,18291F,5,Cage 2-1,936.65,672.242,264.408
